file,text
/content/data/audio_numberplate_40/ej-124-qq.wav,e j 1 2 4 q q
/content/data/audio_numberplate_40/rn-008-qe.wav,r n 0 0 8 q e
/content/data/audio_numberplate_40/gx-326-bw.wav,g x 3 2 6 b w
/content/data/audio_numberplate_40/yb-329-gg.wav,y b 3 2 9 g g
/content/data/audio_numberplate_40/si-700-mh.wav,s i 7 0 0 m h
/content/data/audio_numberplate_40/uy-314-ii.wav,u y 3 1 4 i i
/content/data/audio_numberplate_40/dw-927-wu.wav,d w 9 2 7 w u
/content/data/audio_numberplate_40/bf-797-mm.wav,b f 7 9 7 m m
/content/data/audio_numberplate_40/jq-813-lh.wav,j q 8 1 3 l h
/content/data/audio_numberplate_40/ii-748-rw.wav,i i 7 4 8 r w
/content/data/audio_numberplate_40/lo-169-wt.wav,l o 1 6 9 w t
/content/data/audio_numberplate_40/ej-512-wi.wav,e j 5 1 2 w i
/content/data/audio_numberplate_40/fb-696-ff.wav,f b 6 9 6 f f
/content/data/audio_numberplate_40/aq-745-ru.wav,a q 7 4 5 r u
/content/data/audio_numberplate_40/nq-603-ka.wav,n q 6 0 3 k a
/content/data/audio_numberplate_40/hi-791-hr.wav,h i 7 9 1 h r
/content/data/audio_numberplate_40/iq-340-of.wav,i q 3 5 0 o f
/content/data/audio_numberplate_40/pk-346-rn.wav,p k 3 4 6 r n
/content/data/audio_numberplate_40/nr-281-zm.wav,n r 2 8 1 z m
/content/data/audio_numberplate_40/ui-206-kz.wav,u i 2 0 6 k z
/content/data/audio_numberplate_40/ss-621-el.wav,s s 6 2 1 e l
/content/data/audio_numberplate_40/sh-158-ni.wav,s h 1 5 8 n i
/content/data/audio_numberplate_40/tr-055-ia.wav,t r 0 5 5 i a
/content/data/audio_numberplate_40/vs-675-rh.wav,v s 6 7 5 r h
/content/data/audio_numberplate_40/rs-217-vd.wav,r s 2 1 7 v d
/content/data/audio_numberplate_40/ra-937-bw.wav,r a 9 3 7 b w
/content/data/audio_numberplate_40/rq-758-aj.wav,r q 7 5 8 a j
/content/data/audio_numberplate_40/sb-775-il.wav,s b 7 7 5 i l
/content/data/audio_numberplate_40/fa-100-lg.wav,f a 1 0 0 l g
/content/data/audio_numberplate_40/ip-049-ja.wav,i p 0 4 9 j a
/content/data/audio_numberplate_40/ex-997-yt.wav,e x 9 9 7 y t
/content/data/audio_numberplate_40/tf-061-qu.wav,t f 0 6 1 q u
/content/data/audio_numberplate_40/az-601-un.wav,a z 6 0 1 u n
/content/data/audio_numberplate_40/jt-689-si.wav,j t 6 8 9 s i
/content/data/audio_numberplate_40/rt-740-ib.wav,r t 7 4 0 i b
/content/data/audio_numberplate_40/yo-412-wl.wav,y o 4 1 2 w l
/content/data/audio_numberplate_40/kd-070-qk.wav,k d 0 7 0 q k
/content/data/audio_numberplate_40/vi-632-ih.wav,v i 6 3 2 i h
/content/data/audio_numberplate_40/sa-020-yw.wav,s a 0 2 0 y w
/content/data/audio_numberplate_40/fh-765-hw.wav,f h 7 6 5 h w
